TFLite_operator,NNG Operator,SRAM Usage,Peak%,Op Cycles,Network%,NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network%,Util%,Name
CONV_2D,Conv2DBias,123888,8.206590285211604,23256.0,0.4638163976328132,23256.0,12320.0,0.0,0.0,0.0,4816896,1.5854177962642078,80.90815273477813,functional_2_1/mobilenetv2_1.00_224_1/block_8_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_8_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_8_project_BN_1/batchnorm/sub
ADD,Add,25088,1.661879577322975,9408.0,0.18763263970285116,9408.0,4704.0,0.0,0.0,0.0,0,0.0,0.0,functional_2_1/mobilenetv2_1.00_224_1/block_8_add_1/Add
CONV_2D,Conv2DBias,106496,7.054509226187323,26704.0,0.5325831218776507,26704.0,20160.0,0.0,0.0,0.0,4816896,1.5854177962642078,70.46135410425404,functional_2_1/mobilenetv2_1.00_224_1/block_9_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_9_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_9_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_9_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,170928,11.322614492692182,29008.0,0.5785339724171245,29008.0,18816.0,0.0,0.0,0.0,677376,0.22294937759965422,9.121621621621621,functional_2_1/mobilenetv2_1.00_224_1/block_9_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_9_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_9_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_9_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_9_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_9_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,123856,8.204470540852773,23256.0,0.4638163976328132,23256.0,12320.0,0.0,0.0,0.0,4816896,1.5854177962642078,80.90815273477813,functional_2_1/mobilenetv2_1.00_224_1/block_9_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_9_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_9_project_BN_1/batchnorm/sub
ADD,Add,25088,1.661879577322975,9408.0,0.18763263970285116,9408.0,4704.0,0.0,0.0,0.0,0,0.0,0.0,functional_2_1/mobilenetv2_1.00_224_1/block_9_add_1/Add
CONV_2D,Conv2DBias,106112,7.029072293881359,26096.0,0.5204572029852895,26096.0,20160.0,0.0,0.0,0.0,4816896,1.5854177962642078,72.1030042918455,functional_2_1/mobilenetv2_1.00_224_1/block_10_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_10_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_10_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_10_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,158384,10.491674704030695,29008.0,0.5785339724171245,29008.0,18816.0,0.0,0.0,0.0,677376,0.22294937759965422,9.121621621621621,functional_2_1/mobilenetv2_1.00_224_1/block_10_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_10_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_10_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_10_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_10_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_10_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,129296,8.56482708185393,38278.0,0.7634143476345384,38278.0,26544.0,0.0,0.0,0.0,7225344,2.3781266943963115,73.73425988818643,functional_2_1/mobilenetv2_1.00_224_1/block_10_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_10_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_10_project_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,158256,10.483195726595373,52528.0,1.0476155716742523,52528.0,38304.0,0.0,0.0,0.0,10838016,3.5671900415944675,80.59701492537313,functional_2_1/mobilenetv2_1.00_224_1/block_11_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_11_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_11_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_11_expand_BN_1/batchnorm/sub
